CallTimestamp,Call Type,EmployeeID,CallDuration,WaitTime,CallAbandoned
26/12/2021 15:26,3,B971624,935,10,0
13/09/2021 18:27,3,B971624,986,10,0
29/04/2021 19:45,3,B971624,366,10,0
15/06/2021 15:24,3,B971624,117,10,0
23/05/2021 16:57,3,B971624,583,10,0
09/02/2021 14:13,3,B971624,1441,10,0
24/09/2021 12:46,3,B971624,64,10,0
14/08/2021 09:55,3,B971624,1356,10,0
24/08/2021 19:07,3,B971624,621,10,0
15/10/2021 08:55,3,B971624,1201,10,0
01/03/2021 18:32,3,B971624,1427,10,0
03/03/2021 11:24,3,B971624,780,10,0
20/11/2021 19:25,3,B971624,166,10,0
19/10/2021 17:24,3,B971624,115,10,0
02/05/2021 11:14,3,B971624,147,10,0
08/05/2021 14:55,3,B971624,352,10,0
20/07/2021 13:57,3,B971624,361,10,0
07/02/2021 13:19,3,B971624,1206,10,0
29/03/2021 08:45,3,B971624,1166,10,0
16/12/2021 14:54,3,B971624,865,10,0
05/03/2021 08:01,3,B971624,949,10,0
27/04/2021 19:46,3,B971624,315,10,0
15/07/2021 12:02,3,B971624,469,10,0
19/03/2021 17:28,3,B971624,815,10,0
27/02/2021 19:46,3,B971624,1103,10,0
11/09/2021 15:17,3,B971624,220,10,0
29/11/2021 11:40,3,B971624,1069,10,0
25/10/2021 17:28,3,B971624,482,10,0
24/04/2021 11:54,3,B971624,843,10,0
30/09/2021 09:19,3,B971624,305,10,0
31/08/2021 13:53,3,B971624,425,10,0
02/12/2021 08:29,3,B971624,758,10,0
05/08/2021 14:06,3,B971624,740,10,0
21/05/2021 12:55,3,B971624,1447,10,0
23/09/2021 16:40,3,B971624,1234,10,0
05/06/2021 14:59,3,B971624,535,10,0
31/07/2021 08:18,3,B971624,1004,10,0
08/01/2021 14:14,3,B971624,652,10,0
06/01/2021 12:36,3,B971624,1318,10,0
26/01/2021 13:49,3,B971624,83,10,0
02/05/2021 16:54,3,B971624,1048,10,0
18/10/2021 16:10,3,B971624,128,10,0
18/04/2021 08:54,3,B971624,1461,10,0
20/11/2021 09:27,3,B971624,256,10,0
29/04/2021 17:45,3,B971624,272,10,0
11/04/2021 14:19,3,B971624,1200,10,0
07/02/2021 18:29,3,B971624,687,10,0
21/08/2021 13:27,3,B971624,414,10,0
09/07/2021 11:52,3,B971624,590,10,0
05/04/2021 08:05,3,B971624,988,10,0
02/01/2021 15:51,3,B971624,943,10,0
25/02/2021 11:12,3,B971624,354,10,0
17/03/2021 18:03,3,B971624,86,10,0
01/03/2021 11:22,3,B971624,117,10,0
24/07/2021 14:08,3,B971624,42,10,0
13/09/2021 18:56,3,B971624,565,10,0
18/06/2021 15:10,3,B971624,956,10,0
26/09/2021 09:34,3,B971624,1044,10,0
01/02/2021 15:03,3,B971624,806,10,0
20/11/2021 17:48,3,B971624,43,10,0
21/06/2021 11:33,3,B971624,1503,10,0
27/02/2021 11:25,3,B971624,1439,10,0
03/05/2021 09:05,3,B971624,1461,10,0
27/04/2021 19:22,3,B971624,38,10,0
02/10/2021 09:12,3,B971624,1130,10,0
28/02/2021 12:05,3,B971624,1308,10,0
24/01/2021 09:13,3,B971624,614,10,0
10/02/2021 17:31,3,B971624,57,10,0
10/10/2021 15:28,3,B971624,675,10,0
16/01/2021 16:54,3,B971624,1002,10,0
10/01/2021 09:07,3,B971624,909,10,0
21/07/2021 15:51,3,B971624,948,10,0
07/12/2021 18:12,3,B971624,1394,10,0
30/12/2021 19:50,3,B971624,1352,10,0
31/05/2021 09:09,3,B971624,639,10,0
25/09/2021 17:43,3,B971624,171,10,0
09/02/2021 16:24,3,B971624,1328,10,0
27/08/2021 16:20,3,B971624,896,10,0
28/12/2021 19:22,3,B971624,890,10,0
26/06/2021 08:47,3,B971624,843,10,0
18/11/2021 10:58,3,B971624,297,10,0
25/02/2021 09:01,3,B971624,358,10,0
07/10/2021 09:43,3,B971624,1465,10,0
10/10/2021 18:20,3,B971624,675,10,0
18/03/2021 15:45,3,B971624,61,10,0
24/12/2021 19:48,3,B971624,1221,10,0
10/06/2021 16:55,3,B971624,860,10,0
05/01/2021 17:37,3,B971624,1468,10,0
20/02/2021 17:18,3,B971624,505,10,0
26/05/2021 15:08,3,B971624,858,10,0
11/03/2021 13:16,3,B971624,671,10,0
